# Time-averaged data for fix PEAve
# TimeStep v_PotEn
141600 -19892.9
141700 -19886.3
141800 -19955.9
141900 -19983.6
142000 -20016.4
142100 -20042
142200 -20060
142300 -20093.4
142400 -20078.7
142500 -19979.9
142600 -20004.4
142700 -19991.4
142800 -20029.5
142900 -20020.2
143000 -19979.1
143100 -19907.9
143200 -19930.2
143300 -19995.4
143400 -19998
143500 -19983.8
143600 -19926.1
143700 -19935.5
143800 -19945.7
143900 -20066.1
144000 -20087.3
144100 -20114.1
144200 -20102.3
144300 -20067.9
144400 -20035.8
144500 -20050.3
144600 -20084.4
144700 -20101.7
144800 -20058
144900 -20080.8
145000 -20088.5
145100 -20074.8
145200 -20054.1
145300 -19973
145400 -19981.5
145500 -20001.2
145600 -20055.9
145700 -20060.2
145800 -20048.1
145900 -19982.1
146000 -20000.6
146100 -19990.4
146200 -20015.5
146300 -20004.5
146400 -19977.6
146500 -19976
146600 -20000.7
146700 -20062.4
146800 -20088.8
146900 -20079.8
147000 -20048.3
147100 -19994.9
147200 -20007.9
147300 -20031.3
147400 -20070.3
147500 -20068.9
147600 -19947.1
147700 -19893.9
147800 -19896
147900 -19979.9
148000 -19981.7
148100 -20005.2
148200 -19947.8
148300 -19954.8
148400 -19917.2
148500 -20017.9
148600 -20029.2
148700 -20031.8
148800 -19998.1
148900 -19962
149000 -19964.4
149100 -19966.1
149200 -19966.2
149300 -19924
149400 -19928.5
149500 -19947.5
149600 -19963.8
149700 -20025.4
149800 -19965
149900 -19972.1
150000 -19981.9
150100 -19980.5
150200 -20024.8
150300 -20050.5
150400 -20073.7
150500 -20071.6
150600 -20036
150700 -20011.9
150800 -20019.8
150900 -20050.2
151000 -20065.5
151100 -20060.2
151200 -20017.9
151300 -20054.6
151400 -20114.7
151500 -20123.3
151600 -20140.2
151700 -20127.8
151800 -20159.4
151900 -20145.1
152000 -20138.5
152100 -20102.5
152200 -20101.9
152300 -20077.5
152400 -20120.2
152500 -20060.6
152600 -20012.5
152700 -20015
152800 -20071.6
152900 -20120.3
153000 -20146.6
153100 -20120.3
153200 -20046.6
153300 -19986.3
153400 -20022.1
153500 -20071.4
153600 -20100.8
153700 -20067.9
153800 -20026.9
