# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
4.9929 1.24868	1.24898	1.11438	1.11401	1.12213	1.12411	
5.00903 1.24468	1.24499	1.10809	1.10772	1.1186	1.12058	
5.02517 1.23798	1.2383	1.10196	1.1016	1.11395	1.11592	
5.0413 1.23188	1.23222	1.09532	1.09497	1.10896	1.11094	
5.05743 1.22568	1.22604	1.0882	1.08787	1.10258	1.10454	
5.07356 1.21884	1.21921	1.08074	1.08041	1.09628	1.09825	
5.08969 1.21258	1.21296	1.07384	1.07352	1.09226	1.09422	
5.10583 1.20634	1.20673	1.06572	1.0654	1.08551	1.08746	
5.12196 1.19994	1.20035	1.0583	1.05799	1.08054	1.08249	
5.13809 1.19139	1.1918	1.05142	1.05111	1.07306	1.075	
5.15422 1.18429	1.18472	1.04402	1.04372	1.06729	1.06922	
5.17036 1.17777	1.1782	1.03603	1.03574	1.0605	1.06242	
5.18649 1.17136	1.1718	1.0277	1.0274	1.0523	1.05422	
5.20262 1.16511	1.16556	1.01977	1.01948	1.04513	1.04703	
5.21875 1.15559	1.15604	1.01224	1.01196	1.03796	1.03985	
5.23488 1.1492	1.14967	1.00417	1.00389	1.0299	1.03179	
5.25102 1.14062	1.14109	0.995841	0.995558	1.02345	1.02532	
5.26715 1.13471	1.13519	0.987853	0.987572	1.01566	1.01752	
5.28328 1.12533	1.12581	0.979411	0.97913	1.00644	1.00828	
5.29941 1.1188	1.11929	0.97182	0.971541	0.99806	0.999886	
5.31554 1.11063	1.11112	0.963494	0.963215	0.98961	0.99142	
5.33168 1.10434	1.10484	0.955777	0.955497	0.982588	0.984385	
5.34781 1.09641	1.09691	0.948005	0.947724	0.973559	0.975338	
5.36394 1.08878	1.08928	0.939323	0.939041	0.967155	0.96892	
5.38007 1.08103	1.08154	0.932138	0.931854	0.957853	0.959599	
5.39621 1.07448	1.07499	0.92463	0.924344	0.949594	0.951322	
5.41234 1.06691	1.06742	0.917151	0.916863	0.942784	0.944496	
5.42847 1.05887	1.05938	0.909382	0.909092	0.933923	0.935615	
5.4446 1.05252	1.05303	0.902253	0.901959	0.926784	0.928459	
5.46073 1.04593	1.04644	0.896425	0.896127	0.918315	0.919969	
