# Time-averaged data for fix TempAve
# TimeStep c_T
150900 293.557
151000 293.855
151100 299.349
151200 299.348
151300 294.404
151400 297.877
151500 300.714
151600 293.731
151700 298.143
151800 303.639
151900 297.655
152000 295.522
152100 299.007
152200 298.791
152300 294.081
152400 294.018
152500 298.46
152600 300.126
152700 301.938
152800 296.78
152900 298.097
153000 294.933
153100 296.703
153200 300.414
153300 299.478
153400 297.659
153500 294.608
153600 298.376
153700 300.447
153800 302.979
153900 296.917
154000 299.154
154100 296.61
154200 297.769
154300 293.355
154400 294.208
154500 300.084
154600 296.229
154700 302.871
154800 299.769
154900 296.63
155000 293.613
155100 298.219
155200 299.107
155300 298.16
155400 294.539
155500 300.317
155600 298.462
155700 299.646
155800 300.702
155900 297.185
156000 291.766
156100 299.025
156200 300.473
156300 296.509
156400 291.76
156500 296.689
156600 295.381
156700 300.252
156800 297.847
156900 298.258
157000 297.822
157100 297.538
157200 298.282
157300 300.326
157400 296.681
157500 297.164
157600 291.077
157700 295.985
157800 300.253
157900 298.891
158000 296.851
158100 297.418
158200 295.02
158300 293.966
158400 296.164
158500 300.132
158600 297.035
158700 301.142
158800 293.282
158900 296.125
159000 300.27
159100 299.291
159200 301.84
159300 298.312
159400 298.327
159500 299.072
159600 297.084
159700 293.771
159800 294.346
159900 295.384
160000 299.232
160100 296.212
160200 299.91
160300 301.061
160400 305.882
160500 300.224
160600 297.858
160700 297.216
160800 297.418
160900 300.11
161000 297.882
161100 294.543
161200 294.529
161300 296.475
161400 300.243
161500 299.17
161600 296.249
161700 295.262
161800 293.284
161900 292.433
162000 296.201
162100 299.271
162200 300.422
162300 295.542
162400 296.389
162500 300.05
162600 301.627
162700 300.111
162800 295.606
162900 295.566
163000 296.437
163100 301.228
163200 305.073
163300 302.806
163400 296.929
163500 297.352
163600 296.551
163700 295.404
163800 300.498
163900 299.706
164000 299.127
164100 295.174
164200 293.036
164300 296.898
164400 297.994
164500 300.192
164600 294.077
164700 295.258
164800 299.195
164900 302.46
165000 301.795
165100 297.458
165200 297.718
165300 294.465
165400 300.641
165500 301.513
165600 298.36
165700 295.356
165800 300.439
165900 294.566
166000 293.518
166100 296.184
166200 299.902
166300 299.314
166400 298.506
166500 297.933
166600 294.312
166700 289.818
166800 292.57
166900 295.826
167000 299.541
167100 298.632
167200 296.231
167300 295.996
167400 299.402
167500 298.588
167600 296.855
167700 300.727
167800 304.292
167900 300.447
168000 299.892
168100 298.564
168200 298.119
168300 294.053
168400 297.517
168500 300.304
168600 300.38
168700 296.32
168800 297.38
168900 297.865
169000 295.84
169100 293.413
169200 294.155
169300 298.495
169400 298.575
169500 295.002
169600 299.661
169700 300.272
169800 302.307
169900 296.022
170000 298.403
170100 296.234
170200 301.6
170300 302.026
170400 297.737
170500 295.434
170600 297.126
170700 297.42
170800 300.877
170900 301.059
171000 299.059
171100 298.716
171200 298.012
171300 298.85
171400 296.259
171500 297.707
171600 296.801
171700 300.942
171800 303.748
171900 302.82
172000 297.88
172100 294.454
172200 299.48
172300 299.449
172400 304.215
172500 301.688
172600 297.151
172700 296.921
172800 298.285
172900 296.182
173000 293.381
173100 294.578
173200 298.352
173300 299.031
173400 296.7
173500 298.658
173600 303.621
173700 301.539
173800 297.784
173900 295.782
174000 296.641
174100 299.01
174200 299.987
174300 298.726
174400 294.547
174500 295.53
174600 301.157
174700 301.145
174800 294.509
174900 294.38
175000 294.748
175100 298.215
175200 300.105
175300 296.541
175400 299.024
175500 296.745
175600 292.787
175700 294.009
175800 298.769
175900 296.735
176000 297.589
176100 300.206
176200 302.405
176300 299.06
176400 294.085
176500 298.696
176600 301.976
176700 295.661
176800 292.626
176900 295.831
177000 300.402
177100 295.309
177200 296.592
177300 301.803
177400 302.626
177500 298.844
177600 295.889
177700 297.985
177800 302.23
177900 298.913
178000 299.1
178100 296.158
178200 296.598
178300 296.073
178400 296.218
178500 301.595
178600 300.915
178700 295.579
178800 297.519
178900 295.956
179000 291.902
179100 294.971
179200 296.096
179300 298.626
179400 299.58
179500 299.461
179600 294.728
179700 298.252
179800 295.545
179900 296.292
180000 298.417
180100 298.381
180200 299.943
180300 296.435
180400 298.927
180500 291.037
180600 294.517
180700 300.566
180800 297.399
180900 299.436
181000 297.024
181100 291.687
181200 294.2
181300 299.985
181400 301.03
181500 294.278
181600 299.493
181700 302.871
181800 303.541
181900 297.527
182000 297.896
182100 295.473
182200 299.58
182300 301.357
182400 301.572
182500 299.516
182600 294.541
182700 297.691
182800 297.439
182900 301.577
183000 300.084
183100 297.912
183200 293.913
183300 292.687
183400 297.365
183500 300.973
183600 296.954
183700 298.25
183800 291.592
183900 292.514
184000 296.726
184100 298.959
184200 296.038
184300 298.807
184400 302.707
184500 298.765
184600 293.663
184700 294.548
184800 296.491
184900 300.702
185000 301.374
185100 298.071
185200 296.534
185300 297.98
185400 298.317
185500 301.464
185600 304.005
185700 296.909
185800 297.002
185900 297.135
186000 298.012
186100 298.758
186200 299.286
186300 301.253
186400 297.681
186500 296.913
186600 295.635
186700 294.374
186800 296.692
186900 299.699
187000 297.562
187100 299.795
187200 298.92
187300 291.749
187400 297.484
187500 298.276
187600 300.283
187700 299.632
187800 298.373
187900 294.547
188000 300.388
188100 294.155
188200 299.864
188300 297.631
188400 302.724
188500 302.029
188600 296.443
188700 297.916
188800 297.986
188900 297.381
189000 295.346
189100 294.414
189200 298.417
189300 301.393
189400 298.196
189500 295.635
189600 292.777
189700 291.155
189800 294.979
189900 298.193
190000 295.877
190100 303.193
190200 297.477
190300 295.572
190400 295.405
190500 294.104
190600 293.378
190700 297.959
190800 298.927
190900 299.028
191000 299.129
191100 294.112
191200 293.113
191300 297.811
191400 300.921
191500 296.29
191600 294.444
191700 300.551
191800 300.599
191900 299.233
192000 296.82
192100 295.757
192200 294.457
192300 298.869
192400 297.415
192500 296.121
192600 302.695
192700 303.154
192800 300.192
192900 300.066
193000 293.358
193100 298.41
193200 298.153
193300 302.315
193400 302.521
193500 297.669
193600 294.741
193700 294.251
193800 298.146
193900 301.593
194000 297.493
194100 297.578
194200 293.54
194300 290.45
194400 297.836
194500 296.807
194600 296.576
194700 299.482
194800 297.986
194900 303.3
195000 295.385
195100 296.025
195200 297.082
195300 300.416
195400 299.77
195500 298.561
195600 297.298
195700 295.054
195800 296.71
195900 298.772
196000 299.846
196100 300.244
196200 300.55
196300 296.144
196400 298.955
196500 295.225
196600 301.04
196700 301.911
196800 297.795
196900 295.895
197000 296.7
197100 294.241
197200 298.449
197300 298.834
197400 298.921
197500 297.046
197600 296.643
197700 297.487
197800 293.096
197900 297.851
