# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
4.76672 1.16683	1.16878	1.17783	1.17731	1.30426	1.30431	
4.78285 1.16424	1.1662	1.17529	1.17478	1.30169	1.30176	
4.79898 1.16435	1.16632	1.1726	1.17209	1.3011	1.30119	
4.81511 1.16091	1.16288	1.16869	1.1682	1.29828	1.29839	
4.83124 1.15871	1.16069	1.16653	1.16605	1.29528	1.29541	
4.84737 1.15733	1.15932	1.16124	1.16077	1.29143	1.29157	
4.8635 1.15566	1.15765	1.15715	1.15669	1.28975	1.28992	
4.87963 1.15266	1.15465	1.15234	1.1519	1.28469	1.28487	
4.89577 1.15018	1.15218	1.14789	1.14745	1.28165	1.28185	
4.9119 1.14832	1.15033	1.14235	1.14192	1.27713	1.27735	
4.92803 1.14219	1.1442	1.13575	1.13534	1.27164	1.27187	
4.94416 1.13876	1.14077	1.13062	1.13021	1.26875	1.269	
4.96029 1.1363	1.13831	1.12513	1.12473	1.26269	1.26296	
4.97642 1.13153	1.13354	1.11881	1.11842	1.25633	1.25662	
4.99255 1.12536	1.12737	1.11269	1.11231	1.25135	1.25165	
5.00868 1.12235	1.12436	1.10602	1.10564	1.24557	1.24589	
5.02481 1.11653	1.11854	1.0995	1.09914	1.23929	1.23963	
5.04095 1.11285	1.11486	1.09249	1.09213	1.23411	1.23446	
5.05708 1.10683	1.10883	1.08538	1.08503	1.22666	1.22702	
5.07321 1.10114	1.10313	1.07799	1.07764	1.21996	1.22033	
5.08934 1.09597	1.09796	1.07127	1.07093	1.21494	1.21532	
5.10547 1.09068	1.09266	1.06389	1.06356	1.20694	1.20734	
5.1216 1.08322	1.0852	1.05635	1.05602	1.20137	1.20178	
5.13773 1.0774	1.07938	1.04807	1.04775	1.1932	1.19361	
5.15386 1.07103	1.073	1.04117	1.04086	1.18618	1.18661	
5.16999 1.06515	1.06712	1.03335	1.03304	1.17895	1.17939	
5.18612 1.05716	1.05912	1.02619	1.02588	1.17158	1.17202	
5.20226 1.05012	1.05206	1.01773	1.01743	1.16501	1.16547	
5.21839 1.04183	1.04376	1.0104	1.0101	1.15626	1.15672	
5.23452 1.03326	1.03518	1.00216	1.00186	1.15029	1.15077	
5.25065 1.02588	1.02778	0.993712	0.993417	1.14203	1.14251	
5.26678 1.0191	1.02099	0.986154	0.985861	1.13411	1.13459	
5.28291 1.01068	1.01256	0.978424	0.978132	1.12674	1.12723	
5.29904 1.00243	1.00429	0.970462	0.97017	1.1204	1.1209	
5.31517 0.994453	0.996299	0.96182	0.961529	1.11294	1.11344	
5.3313 0.987344	0.989177	0.953262	0.952971	1.1049	1.10541	
5.34743 0.97848	0.980294	0.945081	0.944789	1.09744	1.09795	
5.36357 0.970027	0.971824	0.937188	0.936895	1.09069	1.09119	
5.3797 0.961405	0.963184	0.930177	0.929882	1.0824	1.08291	
5.39583 0.953806	0.955568	0.922611	0.922314	1.07515	1.07567	
5.41196 0.945416	0.94716	0.915006	0.914706	1.06703	1.06755	
5.42809 0.937595	0.939321	0.907897	0.907594	1.05992	1.06043	
5.44422 0.930445	0.932153	0.900885	0.900579	1.05394	1.05445	
5.46035 0.923542	0.925233	0.893954	0.893644	1.04649	1.04701	
5.47648 0.9159	0.917573	0.88687	0.886556	1.04021	1.04073	
5.49261 0.909564	0.91122	0.88126	0.880941	1.03267	1.03318	
5.50874 0.902509	0.904146	0.874878	0.874555	1.02652	1.02703	
5.52488 0.896696	0.898317	0.86976	0.869431	1.02198	1.02249	
5.54101 0.890642	0.892245	0.864111	0.863776	1.01579	1.0163	
5.55714 0.885278	0.886865	0.85895	0.858609	1.00953	1.01004	
5.57327 0.880114	0.881685	0.85501	0.854662	1.00381	1.00431	
5.5894 0.876814	0.878372	0.850751	0.850396	0.999341	0.999841	
5.60553 0.87126	0.8728	0.846076	0.845715	0.994148	0.994646	
5.62166 0.868427	0.869955	0.843201	0.842832	0.990721	0.991216	
5.63779 0.866067	0.867583	0.840118	0.839741	0.984732	0.985223	
5.65392 0.86403	0.865535	0.836376	0.835991	0.980496	0.980984	
5.67006 0.861459	0.86295	0.835029	0.834635	0.976032	0.976516	
5.68619 0.859577	0.861057	0.831886	0.831485	0.972367	0.972847	
5.70232 0.857769	0.859237	0.830602	0.830191	0.968865	0.969342	
5.71845 0.858473	0.859934	0.829324	0.828904	0.964939	0.965411	
5.73458 0.857576	0.859027	0.827592	0.827163	0.962231	0.9627	
5.75071 0.857474	0.858917	0.827434	0.826994	0.95935	0.959815	
5.76684 0.857398	0.858831	0.826841	0.826392	0.955634	0.956093	
5.78297 0.859513	0.860941	0.826964	0.826504	0.954331	0.954787	
5.7991 0.860265	0.861686	0.827034	0.826564	0.951491	0.951942	
5.81523 0.862545	0.863962	0.827834	0.827353	0.949595	0.950042	
5.83137 0.864404	0.865815	0.829079	0.828586	0.94697	0.947412	
