# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
24400 -16047.5 -19956.5 302.704 -132.717 0.86453
24500 -16095.8 -19965.1 299.627 -370.901 0.864088
24600 -16171.6 -19990 295.68 -137.334 0.866918
24700 -16184.9 -20045.4 298.943 93.1385 0.871332
24800 -16202.2 -20046.2 297.667 -133.04 0.875345
24900 -16190.8 -20008.9 295.663 22.6619 0.880051
25000 -16113.3 -19994.8 300.569 292.904 0.884014
25100 -15993.2 -19957.5 306.976 275.037 0.884887
25200 -16012.5 -19962.6 305.885 340.247 0.882996
25300 -16116.2 -19975.5 298.847 37.774 0.878646
25400 -16145.2 -19994.1 298.046 -118.526 0.874184
25500 -16163.9 -20007.2 297.612 -265.679 0.871557
25600 -16193.6 -20013.5 295.798 94.8881 0.87147
25700 -16186.2 -20017.8 296.706 -11.1823 0.871349
25800 -16113.5 -20003.1 301.193 17.1305 0.870973
25900 -16081.4 -19993.8 302.96 -3.26599 0.870318
26000 -16184.1 -20012.4 296.454 -81.5543 0.869851
26100 -16228.6 -20043.7 295.428 2.55177 0.869998
26200 -16203.6 -20025.6 295.955 84.8417 0.870217
26300 -16140.7 -20010.2 299.639 -24.0985 0.869898
26400 -16117.2 -19990.9 299.963 88.0791 0.869411
26500 -16190 -19993.7 294.543 -135.793 0.868465
26600 -16264.8 -20056.6 293.621 -78.2206 0.868609
26700 -16228.6 -20047.1 295.694 -31.3808 0.869678
26800 -16132.6 -19984.9 298.304 -151.067 0.87144
26900 -16088 -19959 299.752 -25.3109 0.874432
27000 -16105.4 -19988.4 300.688 177.332 0.87738
27100 -16188.7 -20059.6 299.742 213.329 0.878734
27200 -16244.8 -20066.1 295.91 112.224 0.877974
27300 -16219 -20040 295.881 -226.501 0.876302
27400 -16144.4 -19975.2 296.64 167.104 0.876309
27500 -16085.7 -19941 298.541 284.476 0.874831
27600 -16053.4 -19882.1 296.478 -364.282 0.871352
27700 -16035.1 -19927.3 301.4 -79.0547 0.870767
27800 -16063.9 -19895 296.664 -72.5978 0.871201
27900 -16067.1 -19925.4 298.774 -66.9369 0.872319
28000 -16084.8 -19952.7 299.516 -13.3342 0.874117
28100 -16115.7 -19987.9 299.847 79.7599 0.876012
28200 -16146.1 -20012.1 299.367 92.8031 0.877107
28300 -16181.3 -20018.9 297.166 -254.448 0.877583
28400 -16190.4 -20010.9 295.846 204.692 0.879578
28500 -16146 -20057.2 302.863 275.428 0.879898
28600 -16141.9 -19997 298.524 47.0565 0.877773
28700 -16187.5 -20018.2 296.635 16.3355 0.875227
28800 -16248.6 -20080.1 296.693 -154.39 0.873042
28900 -16304.1 -20103.9 294.244 17.9194 0.872144
29000 -16281.5 -20087.1 294.687 -55.6181 0.871489
29100 -16166.1 -20018.5 298.315 94.6101 0.871201
29200 -16113.1 -19960.5 297.93 -292.412 0.870867
29300 -16090.3 -19981.4 301.31 50.106 0.87257
29400 -16158.7 -19998.7 297.356 84.001 0.873845
29500 -16240.7 -20003.2 291.352 162.859 0.873919
29600 -16203.3 -20025.9 296.001 163.622 0.872803
29700 -16163.9 -19999.3 296.997 -384.492 0.870995
29800 -16127.6 -19989.3 299.034 191.773 0.871527
29900 -16120 -19967.7 297.954 -13.1445 0.871172
30000 -16140.2 -20019.5 300.401 36.2205 0.870488
30100 -16234.6 -20038.5 294.557 -135.945 0.869878
30200 -16277.7 -20135 298.699 -69.5858 0.870317
30300 -16303.9 -20089.8 293.171 -198.914 0.871765
30400 -16228.5 -20083.6 298.525 -14.3103 0.874775
30500 -16146.9 -20018.3 299.786 246.611 0.87773
